,Survived,Pclass,Sex,Fare,Embarked,Deck,Age_cat,Tickets,is_crew,mean_fares,Title,Family,Family_classif,Age_gender
0,0,3,male,1.9810014688665833,S,N,Adult,A,0,2.396079697380563,Mr.,2,Little,male_Adult
1,1,1,female,4.26666207838721,C,C,Adult,P,0,4.078828900431776,Mrs.,2,Little,female_Adult
2,1,3,female,2.0700223197633445,S,N,Adult,S,0,2.396079697380563,Miss.,1,Little,female_Adult
3,1,1,female,3.9721769282478934,S,C,Adult,D,0,4.078828900431776,Mrs.,2,Little,female_Adult
4,0,3,male,2.0856720914304723,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
5,0,3,male,2.135148207799377,Q,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
6,0,1,male,3.948595985658986,S,E,Adult,D,0,4.078828900431776,Mr.,1,Little,male_Adult
7,0,3,male,3.048087503887919,S,N,Child,D,0,2.396079697380563,Master.,5,Moderate,male_Child
8,1,3,female,2.409940617298087,S,N,Adult,D,0,2.396079697380563,Mrs.,3,Moderate,female_Adult
9,1,2,female,3.4035546012358333,C,N,Teen,D,0,2.8310588265196923,Mrs.,2,Little,female_Teen
10,1,3,female,2.8154087194227095,S,G,Child,P,0,2.396079697380563,Miss.,3,Moderate,female_Child
11,1,1,female,3.279029747687948,S,C,Adult,D,0,4.078828900431776,Miss.,1,Little,female_Adult
12,0,3,male,2.0856720914304723,S,N,Teen,A,0,2.396079697380563,Mr.,1,Little,male_Teen
13,0,3,male,3.442819056352975,S,N,Adult,D,0,2.396079697380563,Mr.,7,High,male_Adult
14,0,3,female,2.061048420562944,S,N,Teen,D,0,2.396079697380563,Miss.,1,Little,female_Teen
15,1,2,female,2.772588722239781,S,N,Adult,D,0,2.8310588265196923,Mrs.,1,Little,female_Adult
16,0,3,male,3.371596911885865,Q,N,Child,D,0,2.396079697380563,Master.,6,High,male_Child
17,1,2,male,2.5649493574615367,S,N,Adult,D,0,2.8310588265196923,Mr.,1,Little,male_Adult
18,0,3,female,2.8903717578961645,S,N,Adult,D,0,2.396079697380563,Mrs.,2,Little,female_Adult
19,1,3,female,1.9775472339984959,C,N,Adult,D,0,2.396079697380563,Mrs.,1,Little,female_Adult
20,0,2,male,3.258096538021482,S,N,Adult,D,0,2.8310588265196923,Mr.,1,Little,male_Adult
21,1,2,male,2.5649493574615367,S,D,Adult,D,0,2.8310588265196923,Mr.,1,Little,male_Adult
22,1,3,female,2.0830848965946345,Q,N,Teen,D,0,2.396079697380563,Miss.,1,Little,female_Teen
23,1,1,male,3.56953269648137,S,A,Adult,D,0,4.078828900431776,Mr.,1,Little,male_Adult
24,0,3,female,3.048087503887919,S,N,Child,D,0,2.396079697380563,Miss.,5,Moderate,female_Child
25,1,3,female,3.4464097244837033,S,N,Adult,D,0,2.396079697380563,Mrs.,7,High,female_Adult
26,0,3,male,1.9775472339984959,C,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
27,0,1,male,5.572154032177765,S,C,Teen,D,0,4.078828900431776,Mr.,6,High,male_Teen
28,1,3,female,2.0642263758733557,Q,N,Adult,D,0,2.396079697380563,Miss.,1,Little,female_Adult
29,0,3,male,2.0663309725297405,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
30,0,1,male,3.32218303393412,C,N,Adult,P,0,4.078828900431776,Others,1,Little,male_Adult
31,1,1,female,4.9871673979011675,C,B,Adult,P,0,4.078828900431776,Mrs.,2,Little,female_Adult
32,1,3,female,2.0476928433652555,Q,N,Adult,D,0,2.396079697380563,Miss.,1,Little,female_Adult
33,0,2,male,2.3513752571634776,S,N,Adult,C,0,2.8310588265196923,Mr.,1,Little,male_Adult
34,0,1,male,4.408800007809053,C,N,Adult,P,0,4.078828900431776,Mr.,2,Little,male_Adult
35,0,1,male,3.9512437185814275,S,N,Adult,D,0,4.078828900431776,Mr.,2,Little,male_Adult
36,1,3,male,1.9781283799793465,C,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
37,0,3,male,2.0856720914304723,S,N,Adult,A,0,2.396079697380563,Mr.,1,Little,male_Adult
38,0,3,female,2.8903717578961645,S,N,Teen,D,0,2.396079697380563,Miss.,3,Moderate,female_Teen
39,1,3,female,2.419630078580691,C,N,Teen,D,0,2.396079697380563,Miss.,2,Little,female_Teen
40,0,3,female,2.24865675096849,S,N,Adult,D,0,2.396079697380563,Mrs.,2,Little,female_Adult
41,0,2,female,3.044522437723423,S,N,Adult,D,0,2.8310588265196923,Mrs.,2,Little,female_Adult
42,0,3,male,2.0663309725297405,C,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
43,1,2,female,3.7276000422255353,C,N,Child,S,0,2.8310588265196923,Miss.,4,Moderate,female_Child
44,1,3,female,2.0642263758733557,Q,N,Teen,D,0,2.396079697380563,Miss.,1,Little,female_Teen
45,0,3,male,2.0856720914304723,S,N,Adult,S,0,2.396079697380563,Mr.,1,Little,male_Adult
46,0,3,male,2.740840023925201,Q,N,Adult,D,0,2.396079697380563,Mr.,2,Little,male_Adult
47,1,3,female,2.0476928433652555,Q,N,Adult,D,0,2.396079697380563,Miss.,1,Little,female_Adult
48,0,3,male,3.0763532755216065,C,N,Adult,D,0,2.396079697380563,Mr.,3,Moderate,male_Adult
49,0,3,female,2.8791984572980396,S,N,Teen,D,0,2.396079697380563,Mrs.,2,Little,female_Teen
50,0,3,male,3.6810362766529106,S,N,Child,D,0,2.396079697380563,Master.,6,High,male_Child
51,0,3,male,2.0541237336955462,S,N,Adult,A,0,2.396079697380563,Mr.,1,Little,male_Adult
52,1,1,female,4.340282339965535,C,D,Adult,P,0,4.078828900431776,Mrs.,2,Little,female_Adult
53,1,2,female,3.258096538021482,S,N,Adult,D,0,2.8310588265196923,Mrs.,2,Little,female_Adult
54,0,1,male,4.126798844886821,C,B,Adult,D,0,4.078828900431776,Mr.,2,Little,male_Adult
55,1,1,male,3.56953269648137,S,C,Adult,D,0,4.078828900431776,Mr.,1,Little,male_Adult
56,1,2,female,2.3513752571634776,S,N,Adult,C,0,2.8310588265196923,Miss.,1,Little,female_Adult
57,0,3,male,1.9781283799793465,C,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
58,1,2,female,3.3232358401924436,S,N,Child,C,0,2.8310588265196923,Miss.,4,Moderate,female_Child
59,0,3,male,3.8480176754522337,S,N,Child,C,0,2.396079697380563,Master.,8,High,male_Child
60,0,3,male,1.9781283799793465,C,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
61,1,1,female,4.382026634673881,S,B,Adult,D,0,4.078828900431776,Miss.,1,Little,female_Adult
62,0,1,male,4.424547185829718,S,C,Adult,D,0,4.078828900431776,Mr.,2,Little,male_Adult
63,0,3,male,3.32862668882732,S,N,Child,D,0,2.396079697380563,Master.,6,High,male_Child
64,0,1,male,3.32218303393412,C,N,Adult,P,0,4.078828900431776,Mr.,1,Little,male_Adult
65,1,3,male,2.7243040552851014,C,N,Adult,D,0,2.396079697380563,Master.,3,Moderate,male_Adult
66,1,2,female,2.3513752571634776,S,F,Adult,C,0,2.8310588265196923,Mrs.,1,Little,female_Adult
67,0,3,male,2.0990358139382788,S,N,Teen,S,0,2.396079697380563,Mr.,1,Little,male_Teen
68,1,3,female,2.0700223197633445,S,N,Teen,D,0,2.396079697380563,Miss.,7,High,female_Teen
69,0,3,male,2.1590033645160216,S,N,Adult,D,0,2.396079697380563,Mr.,3,Moderate,male_Adult
70,0,2,male,2.3513752571634776,S,N,Adult,C,0,2.8310588265196923,Mr.,1,Little,male_Adult
71,0,3,female,3.8480176754522337,S,N,Teen,C,0,2.396079697380563,Miss.,8,High,female_Teen
72,0,2,male,4.297285406218791,S,N,Adult,S,0,2.8310588265196923,Mr.,1,Little,male_Adult
73,0,3,male,2.6709850297651974,C,N,Adult,D,0,2.396079697380563,Mr.,2,Little,male_Adult
74,1,3,male,4.034166299106131,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
75,0,3,male,2.0347056478384444,S,F,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
76,0,3,male,2.0663309725297405,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
77,0,3,male,2.0856720914304723,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
78,1,2,male,3.367295829986474,S,N,Child,D,0,2.8310588265196923,Master.,3,Moderate,male_Child
79,1,3,female,2.5237266416375825,S,N,Adult,D,0,2.396079697380563,Miss.,1,Little,female_Adult
80,0,3,male,2.1972245773362196,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
81,1,3,male,2.2512917986064953,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
82,1,3,female,2.0525198841135714,Q,N,Adult,D,0,2.396079697380563,Miss.,1,Little,female_Adult
83,0,1,male,3.8522730010223722,S,N,Adult,D,0,4.078828900431776,Mr.,1,Little,male_Adult
84,1,2,female,2.3513752571634776,S,N,Teen,S,0,2.8310588265196923,Miss.,1,Little,female_Teen
85,1,3,female,2.7631695003232895,S,N,Adult,D,0,2.396079697380563,Mrs.,4,Moderate,female_Adult
86,0,3,male,3.5373295559867355,S,N,Teen,W,0,2.396079697380563,Mr.,5,Moderate,male_Teen
87,0,3,male,2.0856720914304723,S,N,Adult,S,0,2.396079697380563,Mr.,1,Little,male_Adult
88,1,1,female,5.572154032177765,S,C,Adult,D,0,4.078828900431776,Miss.,6,High,female_Adult
89,0,3,male,2.0856720914304723,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
90,0,3,male,2.0856720914304723,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
91,0,3,male,2.061048420562944,S,N,Teen,D,0,2.396079697380563,Mr.,1,Little,male_Teen
92,0,1,male,4.113738609328736,S,E,Adult,W,0,4.078828900431776,Mr.,2,Little,male_Adult
93,0,3,male,3.0240767465631335,S,N,Adult,C,0,2.396079697380563,Mr.,4,Moderate,male_Adult
94,0,3,male,1.9810014688665833,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
95,0,3,male,2.0856720914304723,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
96,0,1,male,3.545418930411529,C,A,Adult,P,0,4.078828900431776,Mr.,1,Little,male_Adult
97,1,1,male,4.148805916338137,C,D,Adult,P,0,4.078828900431776,Mr.,2,Little,male_Adult
98,1,2,female,3.1354942159291497,S,N,Adult,D,0,2.8310588265196923,Mrs.,2,Little,female_Adult
99,0,2,male,3.258096538021482,S,N,Adult,D,0,2.8310588265196923,Mr.,2,Little,male_Adult
100,0,3,female,2.0663309725297405,S,N,Adult,D,0,2.396079697380563,Miss.,1,Little,female_Adult
101,0,3,male,2.0663309725297405,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
102,0,1,male,4.347532234884687,S,D,Adult,D,0,4.078828900431776,Mr.,2,Little,male_Adult
103,0,3,male,2.158044752235899,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
104,0,3,male,2.0700223197633445,S,N,Adult,D,0,2.396079697380563,Mr.,3,Moderate,male_Adult
105,0,3,male,2.0663309725297405,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
106,1,3,female,2.0347056478384444,S,N,Adult,D,0,2.396079697380563,Miss.,1,Little,female_Adult
107,1,3,male,2.0509134580652977,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
108,0,3,male,2.0663309725297405,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
109,1,3,female,3.184284380098582,Q,N,Adult,D,0,2.396079697380563,Miss.,2,Little,female_Adult
110,0,1,male,3.9512437185814275,S,C,Adult,D,0,4.078828900431776,Mr.,1,Little,male_Adult
111,0,3,female,2.6709850297651974,C,N,Teen,D,0,2.396079697380563,Miss.,2,Little,female_Teen
112,0,3,male,2.0856720914304723,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
113,0,3,female,2.284930157755325,S,N,Teen,D,0,2.396079697380563,Miss.,2,Little,female_Teen
114,0,3,female,2.671268644120752,C,N,Teen,D,0,2.396079697380563,Miss.,1,Little,female_Teen
115,0,3,male,2.0700223197633445,S,N,Adult,S,0,2.396079697380563,Mr.,1,Little,male_Adult
116,0,3,male,2.0476928433652555,Q,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
117,0,2,male,3.044522437723423,S,N,Adult,D,0,2.8310588265196923,Mr.,2,Little,male_Adult
118,0,1,male,5.5114946188815885,C,B,Adult,P,0,4.078828900431776,Mr.,2,Little,male_Adult
119,0,3,female,3.442819056352975,S,N,Child,D,0,2.396079697380563,Miss.,7,High,female_Child
120,0,2,male,4.297285406218791,S,N,Adult,S,0,2.8310588265196923,Mr.,3,Moderate,male_Adult
121,0,3,male,2.0856720914304723,S,N,Adult,A,0,2.396079697380563,Mr.,1,Little,male_Adult
122,0,2,male,3.4035546012358333,C,N,Adult,D,0,2.8310588265196923,Mr.,2,Little,male_Adult
123,1,2,female,2.5649493574615367,S,E,Adult,D,0,2.8310588265196923,Miss.,1,Little,female_Adult
124,0,1,male,4.347532234884687,S,D,Adult,D,0,4.078828900431776,Mr.,2,Little,male_Adult
125,1,3,male,2.419630078580691,C,N,Child,D,0,2.396079697380563,Master.,2,Little,male_Child
126,0,3,male,2.0476928433652555,Q,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
127,1,3,male,1.9659508432494155,S,N,Adult,C,0,2.396079697380563,Mr.,1,Little,male_Adult
128,1,3,female,3.107197616774036,C,F,Adult,D,0,2.396079697380563,Miss.,3,Moderate,female_Adult
129,0,3,male,1.9423323277074294,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
130,0,3,male,2.0663309725297405,C,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
131,0,3,male,1.9530276168241774,S,N,Teen,S,0,2.396079697380563,Mr.,1,Little,male_Teen
132,0,3,female,2.6741486494265287,S,N,Adult,A,0,2.396079697380563,Mrs.,2,Little,female_Adult
133,1,2,female,3.258096538021482,S,N,Adult,D,0,2.8310588265196923,Mrs.,2,Little,female_Adult
134,0,2,male,2.5649493574615367,S,N,Adult,C,0,2.8310588265196923,Mr.,1,Little,male_Adult
135,0,2,male,2.711098882480229,C,N,Adult,S,0,2.8310588265196923,Mr.,1,Little,male_Adult
136,1,1,female,3.2689337565093157,S,D,Teen,D,0,4.078828900431776,Miss.,3,Moderate,female_Teen
137,0,1,male,3.9721769282478934,S,C,Adult,D,0,4.078828900431776,Mr.,2,Little,male_Adult
138,0,3,male,2.221017055930222,S,N,Teen,D,0,2.396079697380563,Mr.,1,Little,male_Teen
139,0,1,male,4.37197629882038,C,B,Adult,P,0,4.078828900431776,Mr.,1,Little,male_Adult
140,0,3,female,2.7243040552851014,C,N,Adult,D,0,2.396079697380563,Mrs.,3,Moderate,female_Adult
141,1,3,female,2.0476928433652555,S,N,Adult,D,0,2.396079697380563,Miss.,1,Little,female_Adult
142,1,3,female,2.7631695003232895,S,N,Adult,S,0,2.396079697380563,Mrs.,2,Little,female_Adult
143,0,3,male,1.9095425048844386,Q,N,Teen,D,0,2.396079697380563,Mr.,1,Little,male_Teen
144,0,2,male,2.4423470353692043,S,N,Teen,D,0,2.8310588265196923,Mr.,1,Little,male_Teen
145,0,2,male,3.6041382256588457,S,N,Teen,C,0,2.8310588265196923,Mr.,3,Moderate,male_Teen
146,1,3,male,2.0535851271346086,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
147,0,3,female,3.5373295559867355,S,N,Child,W,0,2.396079697380563,Miss.,5,Moderate,female_Child
148,0,2,male,3.258096538021482,S,F,Adult,D,0,2.8310588265196923,Mr.,3,Moderate,male_Adult
149,0,2,male,2.5649493574615367,S,N,Adult,D,0,2.8310588265196923,Others,1,Little,male_Adult
150,0,2,male,2.5277266469709283,S,N,Adult,S,0,2.8310588265196923,Others,1,Little,male_Adult
151,1,1,female,4.198704577546343,S,C,Adult,D,0,4.078828900431776,Mrs.,2,Little,female_Adult
152,0,3,male,2.0856720914304723,S,N,Adult,A,0,2.396079697380563,Mr.,1,Little,male_Adult
153,0,3,male,2.6741486494265287,S,N,Adult,A,0,2.396079697380563,Mr.,3,Moderate,male_Adult
154,0,3,male,1.989585212557975,S,N,Adult,F,0,2.396079697380563,Mr.,1,Little,male_Adult
155,0,1,male,4.117071015545232,C,N,Adult,P,0,4.078828900431776,Mr.,2,Little,male_Adult
156,1,3,female,2.0455356796500372,Q,N,Teen,D,0,2.396079697380563,Miss.,1,Little,female_Teen
157,0,3,male,2.0856720914304723,S,N,Adult,S,0,2.396079697380563,Mr.,1,Little,male_Adult
158,0,3,male,2.1590033645160216,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
159,0,3,male,4.242045918369452,S,N,Adult,C,0,2.396079697380563,Master.,11,High,male_Adult
160,0,3,male,2.7788192719904172,S,N,Adult,D,0,2.396079697380563,Mr.,2,Little,male_Adult
161,1,2,female,2.7568403652716422,S,N,Adult,C,0,2.8310588265196923,Mrs.,1,Little,female_Adult
162,0,3,male,2.0509134580652977,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
163,0,3,male,2.1590033645160216,S,N,Teen,D,0,2.396079697380563,Mr.,1,Little,male_Teen
164,0,3,male,3.6810362766529106,S,N,Child,D,0,2.396079697380563,Master.,6,High,male_Child
165,1,3,male,3.021643655338492,S,N,Child,D,0,2.396079697380563,Master.,3,Moderate,male_Child
166,1,1,female,4.007333185232471,S,E,Adult,D,0,4.078828900431776,Mrs.,2,Little,female_Adult
167,0,3,female,3.32862668882732,S,N,Adult,D,0,2.396079697380563,Mrs.,6,High,female_Adult
168,0,1,male,3.2552077541155913,S,N,Adult,P,0,4.078828900431776,Mr.,1,Little,male_Adult
169,0,3,male,4.034166299106131,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
170,0,1,male,3.5115454388310208,S,B,Adult,D,0,4.078828900431776,Mr.,1,Little,male_Adult
171,0,3,male,3.371596911885865,Q,N,Child,D,0,2.396079697380563,Master.,6,High,male_Child
172,1,3,female,2.409940617298087,S,N,Child,D,0,2.396079697380563,Miss.,3,Moderate,female_Child
173,0,3,male,2.0700223197633445,S,N,Adult,S,0,2.396079697380563,Mr.,1,Little,male_Adult
174,0,1,male,3.424125837416519,C,A,Adult,D,0,4.078828900431776,Mr.,1,Little,male_Adult
175,0,3,male,2.061048420562944,S,N,Teen,D,0,2.396079697380563,Mr.,3,Moderate,male_Teen
176,0,3,male,3.237371716404032,S,N,Adult,D,0,2.396079697380563,Master.,5,Moderate,male_Adult
177,0,1,female,3.3573325680152166,C,C,Adult,P,0,4.078828900431776,Miss.,1,Little,female_Adult
178,0,2,male,2.5649493574615367,S,N,Adult,D,0,2.8310588265196923,Mr.,1,Little,male_Adult
179,0,3,male,0.0,S,N,Adult,L,1,2.396079697380563,Mr.,1,Little,male_Adult
180,0,3,female,4.242045918369452,S,N,Adult,C,0,2.396079697380563,Miss.,11,High,female_Adult
181,0,2,male,2.711377991194885,C,N,Adult,S,0,2.8310588265196923,Mr.,1,Little,male_Adult
182,0,3,male,3.4464097244837033,S,N,Child,D,0,2.396079697380563,Master.,7,High,male_Child
183,1,2,male,3.6635616461296463,S,F,Child,D,0,2.8310588265196923,Master.,4,Moderate,male_Child
184,1,3,female,3.092178171822243,S,N,Child,D,0,2.396079697380563,Miss.,3,Moderate,female_Child
185,0,1,male,3.912023005428146,S,A,Adult,D,0,4.078828900431776,Mr.,1,Little,male_Adult
186,1,3,female,2.740840023925201,Q,N,Adult,D,0,2.396079697380563,Mrs.,2,Little,female_Adult
187,1,1,male,3.279029747687948,S,N,Adult,D,0,4.078828900431776,Mr.,1,Little,male_Adult
188,0,3,male,2.740840023925201,Q,N,Adult,D,0,2.396079697380563,Mr.,3,Moderate,male_Adult
189,0,3,male,2.0663309725297405,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
190,1,2,female,2.5649493574615367,S,N,Adult,D,0,2.8310588265196923,Mrs.,1,Little,female_Adult
191,0,2,male,2.5649493574615367,S,N,Teen,D,0,2.8310588265196923,Mr.,1,Little,male_Teen
192,1,3,female,2.061048420562944,S,N,Teen,D,0,2.396079697380563,Miss.,2,Little,female_Teen
193,1,2,male,3.258096538021482,S,F,Child,D,0,2.8310588265196923,Master.,3,Moderate,male_Child
194,1,1,female,3.32218303393412,C,B,Adult,P,0,4.078828900431776,Mrs.,1,Little,female_Adult
195,1,1,female,4.9871673979011675,C,B,Adult,P,0,4.078828900431776,Miss.,1,Little,female_Adult
196,0,3,male,2.0476928433652555,Q,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
197,0,3,male,2.128731580890919,S,N,Adult,D,0,2.396079697380563,Mr.,2,Little,male_Adult
198,1,3,female,2.0476928433652555,Q,N,Adult,D,0,2.396079697380563,Miss.,1,Little,female_Adult
199,0,2,female,2.5649493574615367,S,N,Adult,D,0,2.8310588265196923,Miss.,1,Little,female_Adult
200,0,3,male,2.2512917986064953,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
201,0,3,male,4.242045918369452,S,N,Adult,C,0,2.396079697380563,Mr.,11,High,male_Adult
202,0,3,male,1.8711558142080713,S,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
203,0,3,male,1.9775472339984959,C,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
204,1,3,male,2.0856720914304723,S,N,Teen,A,0,2.396079697380563,Mr.,1,Little,male_Teen
205,0,3,female,2.3477974358155937,S,G,Child,D,0,2.396079697380563,Miss.,2,Little,female_Child
206,0,3,male,2.7631695003232895,S,N,Adult,D,0,2.396079697380563,Mr.,2,Little,male_Adult
207,1,3,male,2.933191755079093,C,N,Adult,D,0,2.396079697380563,Mr.,1,Little,male_Adult
208,1,3,female,2.0476928433652555,Q,N,Teen,D,0,2.396079697380563,Miss.,1,Little,female_Teen
209,1,1,male,3.4339872044851463,C,A,Adult,D,0,4.078828900431776,Mr.,1,Little,male_Adult
210,0,3,male,1.9530276168241774,S,N,Adult,S,0,2.396079697380563,Mr.,1,Little,male_Adult
211,1,2,female,3.044522437723423,S,N,Adult,F,0,2.8310588265196923,Miss.,1,Little,female_Adult
212,0,3,male,1.9810014688665833,S,N,Adult,A,0,2.396079697380563,Mr.,1,Little,male_Adult
213,0,2,male,2.5649493574615367,S,N,Adult,D,0,2.8310588265196923,Mr.,1,Little,male_Adult
214,0,3,male,2.0476928433652555,Q,N,Adult,D,0,2.396079697380563,Mr.,2,Little,male_Adult
215,1,1,female,4.729818490553202,C,D,Adult,D,0,4.078828900431776,Miss.,2,Little,female_Adult
216,1,3,female,2.0700223197633445,S,N,Adult,S,0,2.396079697380563,Miss.,1,Little,female_Adult
217,0,2,male,3.295836866004329,S,N,Adult,D,0,2.8310588265196923,Mr.,2,Little,male_Adult
218,1,1,female,4.334564151246186,C,D,Adult,D,0,4.078828900431776,Miss.,1,Little,female_Adult
219,0,2,male,2.3513752571634776,S,N,Adult,W,0,2.8310588265196923,Mr.,1,Little,male_Adult
220,1,3,male,2.0856720914304723,S,N,Teen,S,0,2.396079697380563,Mr.,1,Little,male_Teen
221,0,2,male,2.5649493574615367,S,N,Adult,D,0,2.8310588265196923,Mr.,1,Little,male_Adult
